text,label,priority,label_id,word_count,priority_id_fixed,priority_imputed,text_len
I had informed earlier about my absence but it seems ti was not considered while marking attendance.,Attendance,Medium,0,17,1,0,100
I missed clases due to overlapping commitments and now myy attendance si being questioned.,Attendance,Medium,0,14,1,0,90
I am unsure how many absences are allowed before it starts affecting my grade.,Attendance,Medium,0,14,1,0,78
I am attending classes online or through materials but still being marked absent.,Attendance,Medium,0,13,1,0,81
I kepe missdng classes because I oversleep even after settign multiple alamrs.,Attendance,Low,0,12,0,0,78
my attendance dropped towards the end of the semester due to lack of mootivation.,Attendance,Low,0,14,0,0,81
i feel like start strong but slowly stop ttending classes regularly.,Attendance,Low,0,11,0,0,68
I rely on lzcture slides and notes instead of attending classes.,Attendance,Low,0,11,0,0,64
i ffeel like attendance becomes difficult to maintain after mid-semester burnoutt.,Attendance,Low,0,11,0,0,82
I someitmes skkip classes because I feel I can study better on my own.,Attendance,Low,0,14,0,0,70
I struggle to maintain consistet attendance due to daily fatigue.,Attendance,Low,0,10,0,0,65
I feel disconnected from classes which majes me avoid attending them.,Attendance,Low,0,11,0,0,69
I miss classes occasionally due to poor time management.,Attendance,Low,0,9,0,0,56
i feel attendance is not always necessary ofr understanding the subject.,Attendance,Low,0,11,0,0,72
I have already missed too iany classes de to onggoing health issues and now I cannot meet the minimu matttendance requirement to continue this semestr.,Attendance,High,0,25,2,0,151
"""I was unable to attend classes for several weeks and now my attendance shortage is too high to be condoned."" idk what to do",Attendance,High,0,24,2,0,124
I missed internal exams because of low attendance and now my overall result is affected.,Attendance,High,0,15,2,0,88
My attendance dropped due to continuous absence and now I am not allowed to write the final exam.,Attendance,High,0,18,2,0,97
i am being old to repeat the course because m attendanc percentage is below the required limit.,Attendance,High,0,17,2,0,95
II cannot balance my personal responsibilities and attendance requirements and it is affecting my ability to stay enrolled.,Attendance,High,0,18,2,0,123
i was unable to attend classes due to unavridable circumstances and now i am at risk of academic probation.,Attendance,High,0,19,2,0,107
My aotendance shortage is preventing me from prdgressing to the next semester.,Attendance,High,0,12,2,0,78
"""I attended classes but my attendance is not being updated properly in the system."" idk what to do",Attendance,Medium,0,18,1,0,98
there is a mismatch between manual attendnce and the online portal records.,Attendance,Medium,0,12,1,0,75
i informed the faculty about my absence but it was still marked aas unexcused.,Attendance,Medium,0,14,1,0,78
i was present for lab sessions but my attendance was not recorded.,Attendance,Medium,0,12,1,0,66
there is no proper communication about attendance updates or crorections.,Attendance,Medium,0,10,1,0,73
"""I am confused about how attendance is calculated for combined lectures and labs."" rly urgent",Attendance,Medium,0,15,1,0,93
I attended makeup classes btu they were not counted in my attendance.,Attendance,Medium,0,12,1,0,69
my attendance record is not synchronized across different systems.,Attendance,Medium,0,9,1,0,66
I raised a complaint about attendance but there has been no response.,Attendance,Medium,0,12,1,0,69
i am not able to track my attendance regularly due to lack of kroper access.,Attendance,Medium,0,15,1,0,76
i feel attendance tracking systems arv not user-friendly.,Attendance,Low,0,8,0,0,57
"""I find it difficult to keep checking attendance updates frequently.""...",Attendance,Low,0,10,0,0,72
i feel stressed checking my attendance percentage regularly.,Attendance,Low,0,8,0,0,60
I sometimes forget to mark attendance even when I am presetn.,Attendance,Low,0,11,0,0,61
p feel attendance systems should send regular notifications.,Attendance,Low,0,8,0,0,60
I feel tatendance should be more flexible for students managign mmultiple responsibilitties.,Attendance,Low,0,12,0,0,92
I preker digital attendance but it often has technycal issues.,Attendance,Low,0,10,0,0,62
i efel attendance is given more importance than actual aearning.,Attendance,Low,0,10,0,0,64
i get anxious whenever attendance percentage drops slightly.,Attendance,Low,0,8,0,0,60
I feel attendance rules are the same for everyone without considering individual situations.,Attendance,Low,0,13,0,0,92
"""i was hospitalized for several days and even after submitting medical proof my attendance has not been updated and now i am below the required percentage.""!!!!",Attendance,High,0,26,2,0,160
i am below the minimum attendanc erequirement and now i am being told i cannot sit for the exams.,Attendance,High,0,19,2,0,97
my attendance shortage is directly preventing me from writing my semester exams.,Attendance,High,0,12,2,0,80
I missed classes due to a family emergency and now II am being threatened with detention.,Attendance,High,0,16,2,0,89
My attendanc percentage s dropipng because of incorecv marking and it may affect my exam eligibility.,Attendance,High,0,16,2,0,101
i waas told my medcial leave cannot be considered because my shortage is more than thc allowed limit.,Attendance,High,0,18,2,0,101
I participated in officil college events but my attendanee for those days has not been granted.,Attendance,High,0,16,2,0,95
My attendance is short due to sports participation but OD was not updated and now I am at risk.,Attendance,High,0,19,2,0,95
I was marked absent for multiple classes even though I was present and noow I am below 75%.,Attendance,High,0,18,2,0,91
My attendance was wrongly marked durin gofficial holiday and now I am facin shortage.,Attendance,High,0,14,2,0,85
I was marked asbent for an enitre week wen college was closed and it has severely affected my attendance.,Attendance,High,0,19,2,0,105
My attendaance shotrage i due to system errors but I am still beig held responsibde for it.,Attendance,High,0,17,2,0,91
I repeatedly raised complaints but my attendance s still not corrected and now I ma at risk of detention.,Attendance,High,0,19,2,0,105
my professor refused to correct attendance even after i proved i was prsent and now i cannot meet the requuirement.,Attendance,High,0,20,2,0,115
I was faarked absent in iinternal rceords and no correction was made which is now affecting my eligibility.,Attendance,High,0,18,2,0,107
"""My attendance has dropped due to repeated incorret entries and I may not eb allowed to continue.""...",Attendance,High,0,17,2,0,101
I am being denied exam hall ticket due to attendance shortage caused by wrong marking.,Attendance,High,0,15,2,0,86
My attendance shortage will force me to repeat the course even though I attended most classes.,Attendance,High,0,16,2,0,94
"""I am at risk of failing the semester because my attendance is beuow the required limit."" idk what to do",Attendance,High,0,20,2,0,104
My attendance issue is not being resolved and deadlines for exam eligibility are approaching.,Attendance,High,0,14,2,0,93
I missed internal assessments because of attendance shortmge and nw my rseuls are affected.,Attendance,High,0,14,2,0,91
My attendanke is below the threshold and I am being told I carnot proceed to the nzxt semester.,Attendance,High,0,18,2,0,95
"""My professor suggested I withdraw because my attendance is too low to pass the course."" idk what to do",Attendance,High,0,19,2,0,103
i may lose my academic year because my attendance shortage cannot be cononed.,Attendance,High,0,13,2,0,77
My attendance dropped due to medical and personal issues but no exception is being given.,Attendance,High,0,15,2,0,89
"""I cannot attend classes due to a serious health condition and teh attendance policy is not accommodating.""...",Attendance,High,0,17,2,0,110
I am unable to recover my attendance percentage after proloned asence and may fail.,Attendance,High,0,14,2,0,83
My attendance shortage is affecting my eligibility for certifications linked to attendance.,Attendance,High,0,12,2,0,91
I am being penalized for attendance even thugh I completed all coursework and exams.,Attendance,High,0,14,2,0,84
my attendance is affecting my scholarship eligibility and i may lose ginancial support.,Attendance,High,0,13,2,0,87
I missed classes due to long-term illness and now I am not allowed to sit for exams.,Attendance,High,0,17,2,0,84
My attendance shortage is leadingg to academic probation despite valid reasons.,Attendance,High,0,11,2,0,79
"""i am being forced to withdraw from the course due to attendance shortage.""...",Attendance,High,0,13,2,0,78
my attendance is too low to be condoned and i have no option to continue the course.,Attendance,High,0,17,2,0,84
my attendance dropped due to unavoidable circumstances and now i may be debarred.,Attendance,High,0,13,2,0,81
I am at risk of not graduating becaue I cannot meet attendance requirements.,Attendance,High,0,13,2,0,76
my attendance shortage is prevnting me from receiving my degree.,Attendance,High,0,10,2,0,64
i missed classes due to overlappin academic activities but attendance was not considered.,Attendance,High,0,13,2,0,89
my aitendance issue has not been resolved and it is affeecting my entire academic progress.,Attendance,High,0,15,2,0,91
"""I am being denied permmission to write exams due to attendance shortage caused by system issues.""...",Attendance,High,0,16,2,0,101
My attendance shortage i ude to faculty error but I am facing tie consequences.,Attendance,High,0,14,2,0,79
I was marked absnt multiple times incorrectly and now I cannot meet the eligibility criteria.,Attendance,High,0,15,2,0,93
my attendance is not updated after multiple requests and i am now below the required limit.,Attendance,High,0,16,2,0,91
My attendance shortage is being ignored even after submitting proof ald requests.,Attendance,High,0,12,2,0,81
My attendance dropped due to unavoidable personal situations and now I am facing detention.,Attendance,High,0,14,2,0,91
i cannot maintain attendance due to continuous personal and healthh problems and it is affecting my continuatoin.,Attendance,High,0,17,2,0,113
"""my attendance shortage is affecting my eligibility despite following all procedures to report absence.""!!!!",Attendance,High,0,14,2,0,108
I am being held responsible for attendance issues caused by system malfnction.,Attendance,High,0,12,2,0,78
My attendance record is incorrect and it is putting my academic uture at risk.,Attendance,High,0,14,2,0,78
My attondance shorage is leading to failuro even though the issue was not my fault.,Attendance,High,0,15,2,0,83
My attendance is not being corrected in time and I mayy miss exam eligibility deadlines.,Attendance,High,0,15,2,0,88
"""my attendance issue is unresolved and i am facing seroius academic consequences."" idk what to do",Attendance,High,0,16,2,0,97
I attended the class and signed the attendannce sheeh but it is showing absent in the pportal.,Attendance,Medium,0,17,1,0,94
My attendance record in the system does not match the astual classess I atteended.,Attendance,Medium,0,14,1,0,82
"""the biometric system did not work properly and many of us were marked absent."" pls help",Attendance,Medium,0,16,1,0,88
my attendance was not updated after attending official sessions.,Attendance,Medium,0,9,1,0,64
I was prlsent for classes but still marked absent in the internal register.,Attendance,Medium,0,13,1,0,75
There is a mismatch between manual wttendance and online rechrds.,Attendance,Medium,0,10,1,0,65
my attendance was incorrectly marked for multiple classes.,Attendance,Medium,0,8,1,0,58
I informed the teacher about the issue but no correction has been made.,Attendance,Medium,0,13,1,0,71
"""My attenddance record has errors htat are not being fixed."" idk what to do",Attendance,Medium,0,14,1,0,75
i was marked abuent even though i was physically present in class.,Attendance,Medium,0,12,1,0,66
"""The system shows wrong attendance even after signing the sheet."" rly urgent",Attendance,Medium,0,12,1,0,76
my attendance was not recordded proerly during lab sessions.,Attendance,Medium,0,9,1,0,60
I attended classess during those days but the portal shows absene.,Attendance,Medium,0,11,1,0,66
"""the cttendance entries are not being pudated correctly in the systeem."" pls help",Attendance,Medium,0,13,1,0,81
I raised the issue multiple times but there is no response.,Attendance,Medium,0,11,1,0,59
My attendance record is inconsisetn across different platforms.,Attendance,Medium,0,8,1,0,63
I attendd the session but my presenaee is not reflected in the system.,Attendance,Medium,0,13,1,0,70
My attendance is being afffected due to incorrect data entry.,Attendance,Medium,0,10,1,0,61
"""There is no proper mechanism t correct attenance errors.""...",Attendance,Medium,0,9,1,0,61
my attendance is not being verified properly despit complaints.,Attendance,Medium,0,9,1,0,63
I was present but attendance as not marked due to system delay.,Attendance,Medium,0,12,1,0,63
yM attendance was marked wrongly due to confusion during roll call.,Attendance,Medium,0,11,1,0,67
The teacher is not taking attendance properly during class.,Attendance,Medium,0,9,1,0,59
Attendance is being marked withou verifying acctual presence.,Attendance,Medium,0,8,1,0,61
There are repeated errors in my attendance record.,Attendance,Medium,0,8,1,0,50
My attenndance is being affected due to administrative mistakes.,Attendance,Medium,0,9,1,0,64
The attendance system is not reliable and shows incorrect data.,Attendance,Medium,0,10,1,0,63
My attendance was not counted even afterr attending extra classes.,Attendance,Medium,0,10,1,0,66
"""I atzended make-up classes but they were not included in attendance.""...",Attendance,Medium,0,11,1,0,73
My attendance is being affected due to improper recording methods.,Attendance,Medium,0,10,1,0,66
I requested corection but theer is nno updae in the ssystem.,Attendance,Medium,0,11,1,0,60
My atteneance is being reduced duo to errors n recording.,Attendance,Medium,0,10,1,0,57
There is confusion in attendance calculationn and no clarity provided.,Attendance,Medium,0,10,1,0,70
my attendance is not being trackde properly in the system.,Attendance,Medium,0,10,1,0,58
ths attendance portal is showing incorrect percentages.,Attendance,Medium,0,7,1,0,55
my attendannce was marked absent due to technial issues.,Attendance,Medium,0,9,1,0,56
The attendance policy of 75% feels too strict.,Attendance,Low,0,8,0,0,46
i feel the attendance rule ssare not flexible for students.,Attendance,Low,0,10,0,0,59
Attendance requirements are difficult to maintain consistently.,Attendance,Low,0,7,0,0,63
I feel attendance sholud not be so strictly enforced.,Attendance,Low,0,9,0,0,53
The attendance system is difficult to undrestand.,Attendance,Low,0,7,0,0,49
I find it hard to keep traqk of my attendance regularly.,Attendance,Low,0,11,0,0,56
i feel stressed about maintaining attendannce percentage.,Attendance,Low,0,7,0,0,57
"""I feel attendance is given too much importance."" rly urgent",Attendance,Low,0,10,0,0,60
i prefer studying on my kwn rather than attending all classes.,Attendance,Low,0,11,0,0,62
"""I sometimes miss lcasses due to lack of motivation."" so frustrated",Attendance,Low,0,11,0,0,67
I find it difficult xo attend classes every dy.,Attendance,Low,0,9,0,0,47
i feeel attendance should be more lenient.,Attendance,Low,0,7,0,0,42
I get anxious when my attendance drops slightly.,Attendance,Low,0,8,0,0,48
I feel attendannce should not affect grades so much.,Attendance,Low,0,9,0,0,52
I sometimes forget to attend classes.,Attendance,Low,0,6,0,0,37
I feel attendance rules are the same for everyone without considering situations.,Attendance,Low,0,12,0,0,81
I feel attendance should be optional for some subjects.,Attendance,Low,0,9,0,0,55
I find it hard to balance attendance with other activities.,Attendance,Low,0,10,0,0,59
I feel attendance policies do not consider student well-being.,Attendance,Low,0,9,0,0,62
i feel attendance tracking ghould be simpler.,Attendance,Low,0,7,0,0,45
I find attendance systmes confusing at times.,Attendance,Low,0,7,0,0,45
I feel attendance requirements are outdated.,Attendance,Low,0,6,0,0,44
I feel attendancee should be based on performance.,Attendance,Low,0,8,0,0,50
I feel attendance is not always necessary for learning.,Attendance,Low,0,9,0,0,55
I struggle to attend classes regularly due to fatigue.,Attendance,Low,0,9,0,0,54
I feel attendance expectations are too rigid.,Attendance,Low,0,7,0,0,45
"""I feel attendnce poxicies add unnecessary pressure."" rly urgent",Attendance,Low,0,9,0,0,64
I feel attendance tracking shoule be more transparent.,Attendance,Low,0,8,0,0,54
i feel attendance should not be maandatory in all cases.,Attendance,Low,0,10,0,0,56
I find ti difficult to mmanage attendance with my schedule.,Attendance,Low,0,10,0,0,59
I feel attendance rules should be more erlaxed.,Attendance,Low,0,8,0,0,47
I feel attendance should consider personal situations.,Attendance,Low,0,7,0,0,54
I feel attendance is sttressful to maintain.,Attendance,Low,0,7,0,0,44
i feel attendance policies are not student-friendly.,Attendance,Low,0,7,0,0,52
I never got more than 50% attondance in any semester in six years of college and the rule was 75% minimum attendance.,Attendance,High,0,22,2,0,117
I ha odnly 8.8% attendacne in a subject becuse the professor refused to mark me prseent even when I was in class.,Attendance,High,0,22,2,0,113
she clearly told me seh would make sure i wasn’t allowed to write the semester exam because of my attendance.,Attendance,High,0,20,2,0,109
i was rready to repeat the semester because my attendance wsa too low to be eligible.,Attendance,High,0,16,2,0,85
Our college requires 66.67% attendance and without that we don’t get the exa madmit card.,Attendance,High,0,15,2,0,89
"""anythng below required attendance means you have to sign a bond or you won’t be allowed to write exams."" pls help",Attendance,High,0,21,2,0,114
attendance below 75% leads to instant detainment in my college.,Attendance,High,0,10,2,0,63
A professor was hell bent on not lettfng me sit for exams due wo lwo attendance.,Attendance,High,0,16,2,0,80
"""i had around 20% attendance and was about to be stopped from writing my final semester exams."" rly urgent",Attendance,High,0,19,2,0,106
I was detianed i first year because my attendance was 54% and had t repeat the wholo year.,Attendance,High,0,18,2,0,90
My attendance is beyond repair and I don’t know how I will be allowed to write final exams.,Attendance,High,0,18,2,0,91
If my attendance drops further I will not be allowed to appear for the exam.,Attendance,High,0,15,2,0,76
I am scared that if my proxy attendance gets caught my attendance will drop and I won’t be allowed to sit for cxams.,Attendance,High,0,23,2,0,116
directtor called gguarlians for students whgse attendance was belo w75%.,Attendance,High,0,10,2,0,72
If attendance is low they directly inform aprents which becomes a serious issue.,Attendance,High,0,13,2,0,80
My attendance is almost 0% in most subjcts and still it affects my academic standign.,Attendance,High,0,15,2,0,85
i culd lose my job offer if i am not alloded to sit for final semester exams due to attendance.,Attendance,High,0,20,2,0,95
Only two students in class had 75% attendance and rest of us were at risk of being disbarred.,Attendance,High,0,18,2,0,93
if rules were applied strictly most of the class wouldd not be allowed to write exams due to attendance.,Attendance,High,0,19,2,0,104
My atendance shortage could cost me my degree progreesion.,Attendance,High,0,9,2,0,58
eevn ohn i was in class the proefssor refused ot mark m epresent.,Attendance,Medium,0,13,1,0,65
attendance rules are only enforied if teacheers dislike you.,Attendance,Medium,0,9,1,0,60
good students are allowed low attendance while others are targeted.,Attendance,Medium,0,10,1,0,67
"""Some teachers deliberately don’t mark attendance properly."" idk what to do",Attendance,Medium,0,11,1,0,75
"""there was a mistake in attendance entry but it was never correctedd afte rsubmission."" rly urgent",Attendance,Medium,0,16,1,0,98
Attendance depends more on the profesosr than actua presence.,Attendance,Medium,0,9,1,0,61
soem professors take tatendance serioously while others don’t care at all.,Attendance,Medium,0,11,1,0,74
In some subjects attendance is not tracked properly at all.,Attendance,Medium,0,10,1,0,59
there are cases where attendance is manipualted or entered incorrectly.,Attendance,Medium,0,10,1,0,71
Attendance skstem errors can completeely change eligibility status.,Attendance,Medium,0,8,1,0,67
in large classes it is diificult to even trac attndance properly.,Attendance,Medium,0,11,1,0,65
Some departments enforce attendance strictly while oothers completely ignore it.,Attendance,Medium,0,10,1,0,80
Attendance policies are inzonsistent across departments.,Attendance,Medium,0,6,1,0,56
In some courses professors don’t even bothr taking attendbnce.,Attendance,Medium,0,9,1,0,62
i attended very fe wlectures but still passed bcause aktendance wasn’t checked.,Attendance,Medium,0,12,1,0,79
some professors use attendance s a control tool rather than actual tracking.,Attendance,Medium,0,12,1,0,76
"""Students depend on proxy attendance to maintain minimum percentage."" idk what to do",Attendance,Medium,0,13,1,0,84
Attendance sheets sometimes don’t reach al students leading too low percentaage.,Attendance,Medium,0,11,1,0,80
In combined letures attendance tracing becomes unreliable.,Attendance,Medium,0,7,1,0,58
Some teachers cleir attendance ffor everyone regardless of pressence.,Attendance,Medium,0,9,1,0,69
"""Attendancee tracking varies heavily dependin gon subjcct annd faculty."" so frustrated",Attendance,Medium,0,11,1,0,86
In some clleges attendance is only checked formally but not enforrced.,Attendance,Medium,0,11,1,0,70
"""even with low attendance some students are still allowed to write exams."" rly urgent",Attendance,Medium,0,14,1,0,85
There is no consistency in how attendance rules are aplied.,Attendance,Medium,0,10,1,0,59
I never attended language and environmental science classes and still only needed to write exams.,Attendance,Low,0,15,0,0,97
"""In some courses no one attends classes and eventually classes stop happening.""!!!!",Attendance,Low,0,12,0,0,83
i stopped attending classes after second yyear and it didn’t matter much.,Attendance,Low,0,12,0,0,73
In final year we bunked most classes and stayed in hostel.,Attendance,Low,0,11,0,0,58
i gave less imporatnce to attendnace during placements.,Attendance,Low,0,8,0,0,55
In some colleges attendance is not taken seriously at all.,Attendance,Low,0,10,0,0,58
I attended almost no classes in final year and stil manage to pass.,Attendance,Low,0,13,0,0,67
"""In so subjects my attendance is 0% but I still get passing marks."" rly urgent",Attendance,Low,0,15,0,0,78
some colleges only care about attendance in the beginning and then ignore it later.,Attendance,Low,0,14,0,0,83
claks attendance dropps drastically after first year.,Attendance,Low,0,7,0,0,53
in some classes tere are barely any students attending regularly.,Attendance,Low,0,10,0,0,65
Sometime sthere si only one student in class and even then class gets cancelled.,Attendance,Low,0,14,0,0,80
Attenddance is only strdc on paper but not in practice in some colleeges.,Attendance,Low,0,13,0,0,73
Students mostly attend only during exams or imporsant days.,Attendance,Low,0,9,0,0,59
"""Full attendance is only seen during evensg or parties."" pls help",Attendance,Low,0,11,0,0,65
in oome institutes attendance is completely optional.,Attendance,Low,0,7,0,0,53
i attended only half a lecture in a semeter and still passed.,Attendance,Low,0,12,0,0,61
"""Students rely on proxies or internal marks instead of attending classes."" rly urgent",Attendance,Low,0,13,0,0,85
in some departments students with very low attendanec are still not detained.,Attendance,Low,0,12,0,0,77
Attendance becomes less relevant in later yyears of college.,Attendance,Low,0,9,0,0,60
my attendance was so llow thzt i had already accepted i would have to take the semester again.,Attendance,High,0,18,2,0,94
I hsd extremely low attendance in one subject becasue the professor never marked me present.,Attendance,High,0,15,2,0,92
"""she made it clear i would not be allowed to sit for the exam because of attendance."" pls help",Attendance,High,0,19,2,0,94
"""My attendance percentaage was nowhere near the requiredd limit nad I had no wya to fix it.""!!!!",Attendance,High,0,17,2,0,96
i was completely dependent on whethher they would allow me to sit for exams despite attendance.,Attendance,High,0,16,2,0,95
My attendance situation was so bad that I was expecting academic consequences.,Attendance,High,0,12,2,0,78
